mode,entry_time,exit_time,entry_price,exit_price,leverage,net_pnl,return_on_margin_pct,exit_reason,hold_bars,balance_after_trade
SNIPER,2022-02-04 13:55:00,2022-02-04 17:55:00,37423.28316,40489.380504,4.0,324905.8545124725,32.555696844937124,TIMEOUT,48,1322905.8545124726
SWING,2022-02-08 00:00:00,2022-02-09 00:00:00,43842.076662,44062.025832,3.0,17889.276785622184,1.3543027987235714,TIMEOUT,288,1338810.772516326
SNIPER,2022-02-23 15:00:00,2022-02-23 19:00:00,38616.7218,37690.4604,4.0,-130802.22669889926,-9.78961016002136,TIMEOUT,48,1205330.9242723943
SWING,2022-02-24 16:00:00,2022-02-25 16:00:00,35984.79552,39512.096,3.0,351932.8163594487,29.24188714689685,TIMEOUT,288,1555455.7442454344
SWING,2022-02-28 00:00:00,2022-03-01 00:00:00,37566.11172,43398.8185,3.0,720745.8718189867,46.40624572004547,TIMEOUT,288,2273868.432448053
SWING,2022-04-12 16:00:00,2022-04-13 16:00:00,40112.32086,41197.85878,3.0,180834.6267178317,7.964677444071501,TIMEOUT,288,2451292.256517213
SWING,2022-04-15 08:00:00,2022-04-16 08:00:00,40283.25504,40373.023779999996,3.0,12683.47311229249,0.5181971618795943,TIMEOUT,288,2460298.7912447294
SNIPER,2022-04-22 15:45:00,2022-04-22 19:45:00,39494.59733999999,39494.799459999995,4.0,-4860.518336209104,-0.19795395873250607,TIMEOUT,48,2450517.675326031
SWING,2022-04-24 08:00:00,2022-04-25 07:00:00,39735.54552,38138.49447446016,3.0,-298553.15643510525,-12.201571199999997,SL,276,2148288.742377937
SWING,2022-05-12 08:00:00,2022-05-13 08:00:00,28153.82964,30230.25274,3.0,471158.88074099907,21.964769979655248,TIMEOUT,288,2616225.190005369
SWING,2022-06-30 16:00:00,2022-07-01 16:00:00,19148.3289,19272.844660000002,3.0,47017.06241809805,1.7998333682789733,TIMEOUT,288,2659317.914638459
SWING,2022-08-03 16:00:00,2022-08-04 16:00:00,23329.56498,22893.4204,3.0,-152832.09603511918,-5.75567470611276,TIMEOUT,288,2502496.8417313825
SWING,2022-08-13 00:00:00,2022-08-14 00:00:00,24368.07264,24414.41614,3.0,10501.178126716708,0.4202584147828936,TIMEOUT,288,2509244.274595502
SNIPER,2022-08-15 02:45:00,2022-08-15 06:45:00,24851.269259999997,24287.44154,4.0,-232159.1736682947,-9.270696554675656,TIMEOUT,48,2272066.612378016
SWING,2022-08-15 08:00:00,2022-08-16 08:00:00,24009.20088,24021.1948,3.0,-4.727603262972025,-0.00020838761043180703,TIMEOUT,288,2268653.7848561862
SNIPER,2022-08-19 21:55:00,2022-08-20 01:55:00,21075.11418,20981.10294,4.0,-44906.8462362526,-1.9834159013794692,TIMEOUT,48,2219209.631050221
SWING,2022-08-22 08:00:00,2022-08-23 08:00:00,20970.49326,21341.930760000003,3.0,114362.92414664563,5.161059353450854,TIMEOUT,288,2330243.7407502914
SNIPER,2022-08-27 15:40:00,2022-08-27 19:40:00,19895.9784,19990.80104,4.0,39660.840716575316,1.7054147883473476,TIMEOUT,48,2365244.093985366
SWING,2022-08-28 08:00:00,2022-08-29 08:00:00,20068.91298,19868.42552,3.0,-74286.84423156022,-3.1454868477884093,TIMEOUT,288,2287409.383612828
SNIPER,2022-10-25 16:10:00,2022-10-25 20:10:00,19755.55032,20047.9896,4.0,130536.9608545117,5.7181962663746715,TIMEOUT,48,2413371.5257001137
SNIPER,2022-10-27 09:40:00,2022-10-27 13:40:00,20603.81994,20625.674039999998,4.0,5396.600983040452,0.22406064532899103,TIMEOUT,48,2413941.3836317537
SNIPER,2022-10-27 13:55:00,2022-10-27 17:55:00,20516.30244,20568.8854,4.0,19867.50378475695,0.8246811027221284,TIMEOUT,48,2428981.0046492475
SNIPER,2022-10-28 00:20:00,2022-10-28 04:20:00,20271.95358,20271.64486,4.0,-4995.839374726081,-0.2060885230184293,TIMEOUT,48,2419127.2032652227
SNIPER,2022-10-28 07:30:00,2022-10-28 11:30:00,20181.13542,20190.86102,4.0,-176.9727410589794,-0.007330222057415281,TIMEOUT,48,2414111.9761176333
SWING,2022-10-30 00:00:00,2022-10-31 00:00:00,20797.45866,20629.3733,3.0,-62031.37791797518,-2.573392012454674,TIMEOUT,288,2348459.430235482
SWING,2022-11-09 00:00:00,2022-11-09 09:45:00,18427.08468,17686.46329254144,3.0,-286119.12605907145,-12.20157119999999,SL,117,2058817.6150310573
